"","","",""
"","순서","단어","뜻"
"","348","key","열쇠"
"","349","kick","차다"
"","350","kid","어린아이,새끼염소"
"","351","kill","죽이다"
"","352","kind","친절한"
"","353","king","왕"
"","354","kitchen","부엌"
"","355","knee","무릎"
"","356","knife","칼"
"","357","knock","노크하다"
"","358","know","알다"
"","359","lady","숙녀"
"","360","lake","호수"
"","361","lamp","등, 램프"
"","362","land","땅"
"","363","large","큰"
"","364","last","마지막의"
"","365","late","늦은"
"","366","latter","나중의"
"","367","laugh","웃다"
"","368","lead","이끌다"
"","369","leaf","나뭇잎"
"","370","learn","배우다"
"","371","leave","두다, 떠나다"
"","372","left","왼쪽"
"","373","leg","다리"
"","374","lesson","수업, 레슨"
"","375","let","하게하다, 시키다"
"","376","library","도서관"
"","377","lie","거짓말(하다)"
"","378","light","빛, 가벼운"
"","379","like","좋아하는 "
"","380","line","선"
"","381","lion","사자"
"","382","lip","입술"
"","383","list","목록"
"","384","listen","듣다"
"","385","little","작은"
"","386","live","살다"
"","387","long","긴"
"","388","look","보다"
"","389","lose","잃다"
"","390","lot","몫, 제비, 당첨"
"","391","loud","큰, 시끄러운"
"","392","love","사랑"
"","393","low","낮은"
"","394","luck","행운"
"","395","lunch","점심"
"","396","ma`am","여자어른호칭"
"","397","mad","화난, 미친"
"","398","mail","우편물, 우편"
"","399","make","만들다"
"","400","man","남자"
"","401","many","많은"
"","402","map","지도"
"","403","march","행진하다"
"","404","market","시장"
"","405","marry","결혼하다"
"","406","matter","물질"
"","407","may","~일지모른다"
"","408","meat","고기"
"","409","medal","메달, 훈장"
"","410","meet","만나다"
"","411","melon","멜론, 참외류"
"","412","meter","미터"
"","413","middle","가운데의"
"","414","milk","우유"
"","415","million","100만"
"","416","minute","분"
"","417","mirror","거울"
"","418","Miss","~양(미혼여자)"
"","419","model","모형, 표본"
"","420","mom","엄마"
"","421","money","돈, 화폐"
"","422","monkey","원숭이"
"","423","month","달(월)"
"","424","moon","달"
"","425","morning","아침"
"","426","mother","어머니"
"","427","mountain","산"
"","428","mouth","입"
"","429","move","움직이다"
"","430","movie","영화"
"","431","Mr.","~씨"
"","432","Mrs.","~씨 부인"
"","433","much","많은(양)"
"","434","music","음악"
"","435","must","~해야만한다"
"","436","name","이름"
"","437","narrow","좁은"
"","438","near","근처에,가까이"
"","439","neck","목"
"","440","need","필요한"
"","441","never","결코~않다"
"","442","new","새로운"
"","443","news","소식"
"","444","next","다음의"
"","445","nice","좋은"
"","446","night","밤"
"","447","no","~도 없는, 아닌"
"","448","noise","소음"
"","449","north","북쪽"
"","450","nose","코"
"","451","not","아니다"
"","452","note","메모, 짥은편지"
"","453","now","이제"
"","454","number","숫자"
"","455","nurse","간호사"
"","456","o`clock","시(정각)"
"","457","of","~의"
"","458","off","떨어져서, 멀리"
"","459","office","사무실"
"","460","often","자주"
"","461","oh","아(감탄사)"
"","462","oil","기름"
"","463","OK","좋아"
